rowid,kepoi_name,koi_period,koi_prad,koi_teq
386,K01184.01,0.635445,2.01e-07,-2.01e-07
3129,K00549.02,0.635587,2.14e-06,-2.14e-06
5836,K03139.01,0.636244,3.5205e-05,-3.5205e-05
2721,K03032.01,0.636425,1.522e-06,-1.522e-06
5847,K02934.01,0.637487,1.48e-06,-1.48e-06
5894,K00577.02,0.638163,1.922e-06,-1.922e-06
3932,K04375.01,0.638438,5.25e-07,-5.25e-07
9393,K08254.01,0.638698,3.5205e-05,-3.5205e-05
4147,K04492.01,0.639381,2.91e-07,-2.91e-07
7793,K06559.01,0.639721,4.6e-08,-4.6e-08
4087,K04271.01,0.64107,3.915e-06,-3.915e-06
5438,K03736.01,0.642349,2.19e-07,-2.19e-07
5622,K01735.01,0.642349,5.96e-07,-5.96e-07
8215,K06614.01,0.643003,7.9e-08,-7.9e-08
4319,K04594.01,0.643008,2.43e-06,-2.43e-06
7632,K06662.01,0.643171,6.8e-08,-6.8e-08
5631,K02772.01,0.643469,1.535e-06,-1.535e-06
8985,K07640.01,0.643704,6.31e-07,-6.31e-07
473,K01197.01,0.643794,6.29e-07,-6.29e-07
3803,K04351.01,0.644322,2.82e-07,-2.82e-07
7427,K07160.01,0.645851,2.191e-06,-2.191e-06
7377,K07159.01,0.645852,4.6e-08,-4.6e-08
9290,K07216.01,0.646523,9.883e-06,-9.883e-06
8519,K02433.05,0.646745,3.091e-06,-3.091e-06
8300,K07560.01,0.648772,4.225e-06,-4.225e-06
5745,K03949.01,0.648774,2.555e-06,-2.555e-06
8152,K06602.01,0.648776,1.1e-08,-1.1e-08
883,K06277.01,0.648868,1.15e-07,-1.15e-07
5931,K05280.01,0.650701,3.46e-07,-3.46e-07
8118,K07261.01,0.651732,1.4e-07,-1.4e-07
366,K01181.01,0.651784,1.93e-07,-1.93e-07
5794,K03954.01,0.652444,8.95e-07,-8.95e-07
7539,K07050.01,0.652957,1.453e-06,-1.453e-06
5349,K03794.01,0.653554,1.65e-07,-1.65e-07
804,K01269.01,0.655002,3.4e-07,-3.4e-07
7753,K06945.01,0.655095,2.389e-06,-2.389e-06
3702,K04109.01,0.65594,2.046e-06,-2.046e-06
5457,K03740.01,0.656201,4.4e-08,-4.4e-08
4659,K04888.01,0.659299,1.2e-07,-1.2e-07
6757,K05392.01,0.660627,1.356e-05,-1.356e-05
5797,K03957.01,0.660629,1.037e-06,-1.037e-06
8966,K07994.01,0.660655,1.47e-06,-1.47e-06
9421,K08288.01,0.660663,4.026e-06,-4.026e-06
2469,K02810.01,0.66175,2.282e-06,-2.282e-06
9312,K07943.01,0.662343,5.097e-06,-5.097e-06
4060,K04196.01,0.662458,2.505e-06,-2.505e-06
2027,K02493.01,0.663085,9.11e-07,-9.11e-07
9097,K02589.01,0.664074,1.528e-06,-1.528e-06
9125,K07736.01,0.664727,6.678e-06,-6.678e-06
2582,K02756.01,0.665026,1.534e-06,-1.534e-06
8272,K07620.01,0.665739,3.5205e-05,-3.5205e-05
5518,K02480.01,0.666827,6.82e-07,-6.82e-07
5411,K03730.01,0.668483,2.88e-07,-2.88e-07
915,K01286.01,0.668484,2.58e-07,-2.58e-07
6232,K05129.01,0.668827,2.386e-05,-2.386e-05
796,K01442.01,0.66931,5.87e-07,-5.87e-07
7556,K06262.01,0.673141,2.141e-06,-2.141e-06
3776,K07661.01,0.673685,5.705e-06,-5.705e-06
2335,K02852.01,0.67565,2.395e-06,-2.395e-06
5865,K02954.01,0.676716,2.116e-06,-2.116e-06
8889,K06726.01,0.67699,3.7e-08,-3.7e-08
557,K01150.01,0.677375,1.098e-06,-1.098e-06
5199,K03839.01,0.677761,5.68e-07,-5.68e-07
8184,K07402.01,0.678138,1.47e-07,-1.47e-07
3705,K04040.01,0.678349,5.509e-06,-5.509e-06
2072,K02668.01,0.679337,8.23e-07,-8.23e-07
6001,K04936.01,0.681138,1.27e-07,-1.27e-07
3830,K04357.01,0.681181,1.655e-06,-1.655e-06
9563,K07987.01,0.681402,2.434e-06,-2.434e-06
4367,K03157.01,0.683083,5.571e-06,-5.571e-06
7845,K06560.01,0.683965,3.5205e-05,-3.5205e-05
8468,K07523.01,0.684496,4.951e-06,-4.951e-06
5615,K03993.01,0.686994,5.53e-07,-5.53e-07
8110,K07127.01,0.687004,3.11e-06,-3.11e-06
9057,K07695.01,0.687507,4.199e-06,-4.199e-06
8281,K05900.02,0.687739,1.529e-06,-1.529e-06
